"code","canonicalCode","sourceMeaningEn","categoryCandidate","sourceManualId","sourceDocument","actionRecommendation","runtimePath","reason"
"A9","A9","Set Back function","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a9.json","Confirmed fresh manual delta imported."
"n1","N1","Defrosting cycle K1 setting","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/n1.json","Confirmed fresh manual delta imported."
"qA","QA","Heat recovery status","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/qa.json","Confirmed fresh manual delta imported."
"qC","QC","Mainly cooling","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/qc.json","Confirmed fresh manual delta imported."
"qH","QH","Mainly heating","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/qh.json","Confirmed fresh manual delta imported."
"qP","QP","Export region setting for PV VRF units","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/qp.json","Confirmed fresh manual delta imported."
"qU","QU","Grid voltage configuration","status","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/qu.json","Confirmed fresh manual delta imported."
"Uy","UY","PV module over-temperature protection","debugging","gree-gmv6-service-manual-2022-03","GC202203-IV","ready-for-import","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/uy.json","Confirmed fresh manual delta imported."
